Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 001: train 2.8360e-01 | val 3.9592e-02
Epoch 002: train 3.3896e-02 | val 3.6621e-02
Epoch 003: train 3.0778e-02 | val 3.4125e-02
Epoch 004: train 2.6190e-02 | val 3.2038e-02
Epoch 005: train 2.3490e-02 | val 3.0955e-02
Epoch 006: train 2.2430e-02 | val 3.1071e-02
Epoch 007: train 2.1737e-02 | val 3.1389e-02
Epoch 008: train 2.1158e-02 | val 3.1435e-02
Epoch 009: train 2.0743e-02 | val 3.0924e-02
Epoch 010: train 2.0416e-02 | val 3.1092e-02
Epoch 011: train 2.0072e-02 | val 3.0961e-02
Epoch 012: train 1.9797e-02 | val 3.1137e-02
Epoch 013: train 1.9532e-02 | val 3.1125e-02
Epoch 014: train 1.9309e-02 | val 3.1236e-02
Epoch 015: train 1.9133e-02 | val 3.1399e-02
Epoch 016: train 1.9104e-02 | val 3.1722e-02
Epoch 017: train 1.8872e-02 | val 3.1547e-02
Epoch 018: train 1.8703e-02 | val 3.1592e-02
Epoch 019: train 1.8585e-02 | val 3.1710e-02
Epoch 020: train 1.8436e-02 | val 3.1603e-02
Epoch 021: train 1.8326e-02 | val 3.1766e-02
Epoch 022: train 1.8242e-02 | val 3.1926e-02
Epoch 023: train 1.8165e-02 | val 3.1906e-02
Epoch 024: train 1.8079e-02 | val 3.2093e-02
Epoch 025: train 1.8008e-02 | val 3.2065e-02
Epoch 026: train 1.7926e-02 | val 3.2389e-02
Epoch 027: train 1.7849e-02 | val 3.2452e-02
Epoch 028: train 1.7788e-02 | val 3.2447e-02
Epoch 029: train 1.7723e-02 | val 3.2683e-02
Epoch 030: train 1.7633e-02 | val 3.2315e-02
Epoch 031: train 1.7616e-02 | val 3.2594e-02
Epoch 032: train 1.7500e-02 | val 3.2907e-02
Epoch 033: train 1.7425e-02 | val 3.3077e-02
Epoch 034: train 1.7380e-02 | val 3.3163e-02
Epoch 035: train 1.7351e-02 | val 3.3190e-02
Epoch 036: train 1.7240e-02 | val 3.3654e-02
Epoch 037: train 1.7253e-02 | val 3.3550e-02
Epoch 038: train 1.7132e-02 | val 3.3931e-02
Epoch 039: train 1.7061e-02 | val 3.4008e-02
Epoch 040: train 1.7036e-02 | val 3.3623e-02
Epoch 041: train 1.7013e-02 | val 3.4210e-02
Epoch 042: train 1.6951e-02 | val 3.4342e-02
Epoch 043: train 1.6996e-02 | val 3.4205e-02
Epoch 044: train 1.6910e-02 | val 3.4307e-02
Epoch 045: train 1.6856e-02 | val 3.4823e-02
Epoch 046: train 1.6843e-02 | val 3.4892e-02
Epoch 047: train 1.6754e-02 | val 3.5380e-02
Epoch 048: train 1.6739e-02 | val 3.5373e-02
Epoch 049: train 1.6688e-02 | val 3.5213e-02
Epoch 050: train 1.6701e-02 | val 3.5417e-02
Epoch 051: train 1.6625e-02 | val 3.5154e-02
Epoch 052: train 1.6637e-02 | val 3.5529e-02
Epoch 053: train 1.6573e-02 | val 3.5209e-02
Epoch 054: train 1.6610e-02 | val 3.5242e-02
Epoch 055: train 1.6546e-02 | val 3.5090e-02
Epoch 056: train 1.6518e-02 | val 3.4607e-02
Epoch 057: train 1.6471e-02 | val 3.4714e-02
Epoch 058: train 1.6457e-02 | val 3.4886e-02
Epoch 059: train 1.6439e-02 | val 3.4625e-02
Epoch 060: train 1.6418e-02 | val 3.5281e-02
Epoch 061: train 1.6403e-02 | val 3.5133e-02
Epoch 062: train 1.6366e-02 | val 3.5016e-02
Epoch 063: train 1.6334e-02 | val 3.4715e-02
Epoch 064: train 1.6348e-02 | val 3.4859e-02
Epoch 065: train 1.6319e-02 | val 3.5570e-02
Epoch 066: train 1.6292e-02 | val 3.4761e-02
Epoch 067: train 1.6304e-02 | val 3.6088e-02
Epoch 068: train 1.6358e-02 | val 3.5892e-02
Epoch 069: train 1.6266e-02 | val 3.7218e-02
Epoch 070: train 1.6323e-02 | val 3.8211e-02
Epoch 071: train 1.6273e-02 | val 4.0747e-02
Epoch 072: train 1.6216e-02 | val 4.0464e-02
Epoch 073: train 1.6188e-02 | val 4.0937e-02
Epoch 074: train 1.6188e-02 | val 4.0615e-02
Epoch 075: train 1.6141e-02 | val 4.2209e-02
Epoch 076: train 1.6125e-02 | val 4.0104e-02
Epoch 077: train 1.6122e-02 | val 4.0656e-02
Epoch 078: train 1.6125e-02 | val 4.0807e-02
Epoch 079: train 1.6181e-02 | val 3.9671e-02
Epoch 080: train 1.6163e-02 | val 3.9852e-02
Epoch 081: train 1.6115e-02 | val 4.0555e-02
Epoch 082: train 1.6082e-02 | val 4.0295e-02
Epoch 083: train 1.6065e-02 | val 3.9746e-02
Epoch 084: train 1.6074e-02 | val 3.8322e-02
Epoch 085: train 1.6021e-02 | val 3.9761e-02
Epoch 086: train 1.6059e-02 | val 4.0383e-02
Epoch 087: train 1.6198e-02 | val 3.8879e-02
Epoch 088: train 1.6090e-02 | val 3.9218e-02
Epoch 089: train 1.5999e-02 | val 3.9273e-02
Epoch 090: train 1.6001e-02 | val 3.8995e-02
Epoch 091: train 1.6116e-02 | val 3.9491e-02
Epoch 092: train 1.6028e-02 | val 3.8447e-02
Epoch 093: train 1.6001e-02 | val 3.8688e-02
Epoch 094: train 1.5965e-02 | val 3.8756e-02
Epoch 095: train 1.5965e-02 | val 3.7946e-02
Epoch 096: train 1.6064e-02 | val 3.8864e-02
Epoch 097: train 1.5951e-02 | val 3.8264e-02
Epoch 098: train 1.5950e-02 | val 3.7843e-02
Epoch 099: train 1.5935e-02 | val 3.8306e-02
