Train: 4100 Test: 700

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 001: train 2.6177e+00 | val 6.3402e-02
Epoch 002: train 5.5131e-02 | val 5.5586e-02
Epoch 003: train 5.4354e-02 | val 5.4761e-02
Epoch 004: train 5.3464e-02 | val 5.3869e-02
Epoch 005: train 5.2529e-02 | val 5.2957e-02
Epoch 006: train 5.1585e-02 | val 5.2051e-02
Epoch 007: train 5.0653e-02 | val 5.1165e-02
Epoch 008: train 4.9746e-02 | val 5.0308e-02
Epoch 009: train 4.8869e-02 | val 4.9486e-02
Epoch 010: train 4.8030e-02 | val 4.8703e-02
Epoch 011: train 4.7230e-02 | val 4.7958e-02
Epoch 012: train 4.6470e-02 | val 4.7251e-02
Epoch 013: train 4.5753e-02 | val 4.6583e-02
Epoch 014: train 4.5076e-02 | val 4.5958e-02
Epoch 015: train 4.4440e-02 | val 4.5372e-02
Epoch 016: train 4.3844e-02 | val 4.4824e-02
Epoch 017: train 4.3286e-02 | val 4.4311e-02
Epoch 018: train 4.2765e-02 | val 4.3833e-02
Epoch 019: train 4.2278e-02 | val 4.3388e-02
Epoch 020: train 4.1825e-02 | val 4.2973e-02
Epoch 021: train 4.1403e-02 | val 4.2589e-02
Epoch 022: train 4.1012e-02 | val 4.2231e-02
Epoch 023: train 4.0648e-02 | val 4.1900e-02
Epoch 024: train 4.0310e-02 | val 4.1592e-02
Epoch 025: train 3.9997e-02 | val 4.1309e-02
Epoch 026: train 3.9706e-02 | val 4.1046e-02
Epoch 027: train 3.9438e-02 | val 4.0804e-02
Epoch 028: train 3.9189e-02 | val 4.0578e-02
Epoch 029: train 3.8959e-02 | val 4.0371e-02
Epoch 030: train 3.8747e-02 | val 4.0180e-02
Epoch 031: train 3.8551e-02 | val 4.0002e-02
Epoch 032: train 3.8370e-02 | val 3.9840e-02
Epoch 033: train 3.8203e-02 | val 3.9691e-02
Epoch 034: train 3.8048e-02 | val 3.9552e-02
Epoch 035: train 3.7906e-02 | val 3.9424e-02
Epoch 036: train 3.7775e-02 | val 3.9306e-02
Epoch 037: train 3.7654e-02 | val 3.9200e-02
Epoch 038: train 3.7543e-02 | val 3.9100e-02
Epoch 039: train 3.7441e-02 | val 3.9008e-02
Epoch 040: train 3.7346e-02 | val 3.8924e-02
Epoch 041: train 3.7260e-02 | val 3.8846e-02
Epoch 042: train 3.7180e-02 | val 3.8776e-02
Epoch 043: train 3.7106e-02 | val 3.8711e-02
Epoch 044: train 3.7039e-02 | val 3.8652e-02
Epoch 045: train 3.6977e-02 | val 3.8596e-02
Epoch 046: train 3.6920e-02 | val 3.8546e-02
Epoch 047: train 3.6868e-02 | val 3.8500e-02
Epoch 048: train 3.6820e-02 | val 3.8457e-02
Epoch 049: train 3.6776e-02 | val 3.8418e-02
Epoch 050: train 3.6736e-02 | val 3.8385e-02
Epoch 051: train 3.6699e-02 | val 3.8350e-02
Epoch 052: train 3.6665e-02 | val 3.8320e-02
Epoch 053: train 3.6634e-02 | val 3.8292e-02
Epoch 054: train 3.6605e-02 | val 3.8267e-02
Epoch 055: train 3.6579e-02 | val 3.8243e-02
Epoch 056: train 3.6555e-02 | val 3.8224e-02
Epoch 057: train 3.6533e-02 | val 3.8203e-02
Epoch 058: train 3.6513e-02 | val 3.8186e-02
Epoch 059: train 3.6495e-02 | val 3.8171e-02
Epoch 060: train 3.6478e-02 | val 3.8154e-02
Epoch 061: train 3.6463e-02 | val 3.8142e-02
Epoch 062: train 3.6449e-02 | val 3.8130e-02
Epoch 063: train 3.6436e-02 | val 3.8118e-02
Epoch 064: train 3.6424e-02 | val 3.8109e-02
Epoch 065: train 3.6414e-02 | val 3.8097e-02
Epoch 066: train 3.6404e-02 | val 3.8090e-02
Epoch 067: train 3.6395e-02 | val 3.8082e-02
Epoch 068: train 3.6387e-02 | val 3.8074e-02
Epoch 069: train 3.6380e-02 | val 3.8070e-02
Epoch 070: train 3.6373e-02 | val 3.8062e-02
Epoch 071: train 3.6367e-02 | val 3.8058e-02
Epoch 072: train 3.6361e-02 | val 3.8053e-02
Epoch 073: train 3.6356e-02 | val 3.8048e-02
Epoch 074: train 3.6351e-02 | val 3.8045e-02
Epoch 075: train 3.6347e-02 | val 3.8040e-02
Epoch 076: train 3.6343e-02 | val 3.8038e-02
Epoch 077: train 3.6339e-02 | val 3.8037e-02
Epoch 078: train 3.6336e-02 | val 3.8030e-02
Epoch 079: train 3.6333e-02 | val 3.8026e-02
Epoch 080: train 3.6331e-02 | val 3.8025e-02
Epoch 081: train 3.6328e-02 | val 3.8023e-02
Epoch 082: train 3.6326e-02 | val 3.8023e-02
Epoch 083: train 3.6324e-02 | val 3.8022e-02
Epoch 084: train 3.6322e-02 | val 3.8017e-02
Epoch 085: train 3.6321e-02 | val 3.8018e-02
Epoch 086: train 3.6319e-02 | val 3.8017e-02
Epoch 087: train 3.6318e-02 | val 3.8013e-02
Epoch 088: train 3.6316e-02 | val 3.8013e-02
Epoch 089: train 3.6315e-02 | val 3.8012e-02
Epoch 090: train 3.6314e-02 | val 3.8013e-02
Epoch 091: train 3.6313e-02 | val 3.8011e-02
Epoch 092: train 3.6312e-02 | val 3.8010e-02
Epoch 093: train 3.6312e-02 | val 3.8011e-02
Epoch 094: train 3.6311e-02 | val 3.8011e-02
Epoch 095: train 3.6310e-02 | val 3.8011e-02
Epoch 096: train 3.6310e-02 | val 3.8008e-02
Epoch 097: train 3.6309e-02 | val 3.8010e-02
Epoch 098: train 3.6309e-02 | val 3.8008e-02
Epoch 099: train 3.6308e-02 | val 3.8008e-02
Epoch 100: train 3.6308e-02 | val 3.8008e-02
Epoch 101: train 3.6308e-02 | val 3.8009e-02
Epoch 102: train 3.6307e-02 | val 3.8008e-02
Epoch 103: train 3.6307e-02 | val 3.8005e-02
Epoch 104: train 3.6307e-02 | val 3.8006e-02
Epoch 105: train 3.6307e-02 | val 3.8003e-02
Epoch 106: train 3.6306e-02 | val 3.8011e-02
Epoch 107: train 3.6306e-02 | val 3.8010e-02
