Train: 2400 Test: 600

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 001: train 1.4681e-01 | val 5.9601e-02
Epoch 002: train 4.7553e-02 | val 4.8583e-02
Epoch 003: train 3.7926e-02 | val 4.0644e-02
Epoch 004: train 3.1058e-02 | val 3.6408e-02
Epoch 005: train 2.8531e-02 | val 3.5342e-02
Epoch 006: train 2.7427e-02 | val 3.4410e-02
Epoch 007: train 2.6611e-02 | val 3.4276e-02
Epoch 008: train 2.5982e-02 | val 3.3396e-02
Epoch 009: train 2.5489e-02 | val 3.3688e-02
Epoch 010: train 2.5129e-02 | val 3.3456e-02
Epoch 011: train 2.4818e-02 | val 3.3382e-02
Epoch 012: train 2.4537e-02 | val 3.3553e-02
Epoch 013: train 2.4266e-02 | val 3.3302e-02
Epoch 014: train 2.4010e-02 | val 3.3415e-02
Epoch 015: train 2.3762e-02 | val 3.3219e-02
Epoch 016: train 2.3537e-02 | val 3.3337e-02
Epoch 017: train 2.3317e-02 | val 3.3297e-02
Epoch 018: train 2.3114e-02 | val 3.3294e-02
Epoch 019: train 2.2924e-02 | val 3.3583e-02
Epoch 020: train 2.2737e-02 | val 3.3621e-02
Epoch 021: train 2.2559e-02 | val 3.3987e-02
Epoch 022: train 2.2376e-02 | val 3.4284e-02
Epoch 023: train 2.2207e-02 | val 3.4515e-02
Epoch 024: train 2.2049e-02 | val 3.5050e-02
Epoch 025: train 2.1891e-02 | val 3.5316e-02
Epoch 026: train 2.1720e-02 | val 3.5634e-02
Epoch 027: train 2.1570e-02 | val 3.5915e-02
Epoch 028: train 2.1425e-02 | val 3.6351e-02
Epoch 029: train 2.1282e-02 | val 3.6647e-02
Epoch 030: train 2.1135e-02 | val 3.6989e-02
Epoch 031: train 2.0992e-02 | val 3.7626e-02
Epoch 032: train 2.0864e-02 | val 3.8034e-02
Epoch 033: train 2.0726e-02 | val 3.8221e-02
Epoch 034: train 2.0591e-02 | val 3.8675e-02
Epoch 035: train 2.0473e-02 | val 3.8728e-02
Epoch 036: train 2.0350e-02 | val 3.8701e-02
Epoch 037: train 2.0234e-02 | val 3.9137e-02
Epoch 038: train 2.0127e-02 | val 3.9009e-02
Epoch 039: train 2.0019e-02 | val 3.9318e-02
Epoch 040: train 1.9907e-02 | val 3.9531e-02
Epoch 041: train 1.9813e-02 | val 3.9585e-02
Epoch 042: train 1.9713e-02 | val 3.9959e-02
Epoch 043: train 1.9613e-02 | val 3.9802e-02
Epoch 044: train 1.9513e-02 | val 4.0230e-02
Epoch 045: train 1.9400e-02 | val 4.0387e-02
Epoch 046: train 1.9314e-02 | val 3.9909e-02
Epoch 047: train 1.9213e-02 | val 3.9996e-02
Epoch 048: train 1.9126e-02 | val 4.0781e-02
Epoch 049: train 1.9022e-02 | val 4.0727e-02
Epoch 050: train 1.8939e-02 | val 4.0693e-02
Epoch 051: train 1.8850e-02 | val 4.0738e-02
Epoch 052: train 1.8769e-02 | val 4.0632e-02
Epoch 053: train 1.8656e-02 | val 4.0909e-02
Epoch 054: train 1.8576e-02 | val 4.0926e-02
Epoch 055: train 1.8492e-02 | val 4.1074e-02
Epoch 056: train 1.8403e-02 | val 4.1402e-02
Epoch 057: train 1.8327e-02 | val 4.1044e-02
Epoch 058: train 1.8232e-02 | val 4.0957e-02
Epoch 059: train 1.8148e-02 | val 4.1395e-02
Epoch 060: train 1.8077e-02 | val 4.1585e-02
Epoch 061: train 1.7982e-02 | val 4.1294e-02
Epoch 062: train 1.7898e-02 | val 4.1413e-02
Epoch 063: train 1.7802e-02 | val 4.1814e-02
Epoch 064: train 1.7732e-02 | val 4.1833e-02
Epoch 065: train 1.7666e-02 | val 4.1856e-02
Epoch 066: train 1.7585e-02 | val 4.1890e-02
Epoch 067: train 1.7510e-02 | val 4.2339e-02
Epoch 068: train 1.7442e-02 | val 4.2540e-02
Epoch 069: train 1.7373e-02 | val 4.2733e-02
Epoch 070: train 1.7294e-02 | val 4.2470e-02
Epoch 071: train 1.7218e-02 | val 4.2745e-02
Epoch 072: train 1.7138e-02 | val 4.3074e-02
Epoch 073: train 1.7063e-02 | val 4.3331e-02
Epoch 074: train 1.6986e-02 | val 4.3338e-02
Epoch 075: train 1.6928e-02 | val 4.3680e-02
Epoch 076: train 1.6882e-02 | val 4.3977e-02
Epoch 077: train 1.6832e-02 | val 4.3590e-02
Epoch 078: train 1.6744e-02 | val 4.4204e-02
Epoch 079: train 1.6678e-02 | val 4.4521e-02
Epoch 080: train 1.6625e-02 | val 4.4540e-02
Epoch 081: train 1.6558e-02 | val 4.4974e-02
Epoch 082: train 1.6503e-02 | val 4.4899e-02
Epoch 083: train 1.6432e-02 | val 4.5098e-02
Epoch 084: train 1.6376e-02 | val 4.5746e-02
Epoch 085: train 1.6320e-02 | val 4.5122e-02
Epoch 086: train 1.6272e-02 | val 4.6105e-02
Epoch 087: train 1.6213e-02 | val 4.6427e-02
Epoch 088: train 1.6163e-02 | val 4.7012e-02
Epoch 089: train 1.6121e-02 | val 4.6528e-02
Epoch 090: train 1.6054e-02 | val 4.6905e-02
Epoch 091: train 1.6005e-02 | val 4.7423e-02
Epoch 092: train 1.5966e-02 | val 4.7676e-02
Epoch 093: train 1.5902e-02 | val 4.7848e-02
Epoch 094: train 1.5853e-02 | val 4.8148e-02
Epoch 095: train 1.5813e-02 | val 4.8855e-02
Epoch 096: train 1.5763e-02 | val 4.8547e-02
Epoch 097: train 1.5743e-02 | val 4.9795e-02
Epoch 098: train 1.5693e-02 | val 5.0153e-02
Epoch 099: train 1.5641e-02 | val 4.9949e-02
Epoch 100: train 1.5604e-02 | val 5.0852e-02
Epoch 101: train 1.5579e-02 | val 5.0420e-02
Epoch 102: train 1.5562e-02 | val 5.1597e-02
Epoch 103: train 1.5502e-02 | val 5.1929e-02
Epoch 104: train 1.5452e-02 | val 5.1562e-02
